date_month,partner_area_name,name_city,zonas,zonas_santiago,vertical,total_confirmed_order,total_active_users,total_failed_order,total_failed_active_users,total_confirmed_orders_plus,total_plus_active_users,total_failed_orders_plus,total_failed_plus_active_users,total_GFV,total_GFV_PLUS,total_GFV_NO_PLUS,total_GMV,total_GMV_PLUS,total_GMV_NO_PLUS
2024-05-01,Linares,Linares,Sur,Regiones,food,10151,4683,218,196,897,257,19,257,121728918.30000001,9909936.0099999979,111818982.29,133538654.4,10650448.009999998,122888206.39
2023-12-01,Talagante,Talagante,RM,Zona No Oriente,food,1788,1048,133,117,149,81,11,81,25115179.1,1949939.3,23165239.8,28188234.400000002,2112459.3000000003,26075775.1
2021-05-01,LicanRay,Villarrica,other,Regiones,food,581,577,10,9,0,0,0,0,2684678,,2684678,2699678,,2699678
2023-01-01,Linares,Linares,Sur,Regiones,food,5570,2836,214,192,477,137,21,137,66401289.05,5393527.4999999991,61007761.55,72650945.05,5622439.4999999991,67028505.55
2022-08-01,Calle Larga,Los Andes,Quinta,Regiones,food,74,29,1,1,0,0,0,0,886697,,886697,972135.79999999993,,972135.79999999993
2022-09-01,Lampa,Colina,RM,Zona No Oriente,non_food,20,19,4,4,0,0,0,0,359176,,359176,378942,,378942
2021-06-01,Labranza,Temuco,Sur,Regiones,food,297,232,32,25,0,0,0,0,2257150,,2257150,2434630,,2434630
2024-04-01,Santo Domingo,Santo Domingo,other,Regiones,food,561,275,45,42,96,20,5,20,7870738,1307660.9,6563077.1,8910148,1416380.9,7493767.1
2024-05-01,Talagante,Talagante,RM,Zona No Oriente,food,2263,1261,107,91,171,73,5,73,30452194.5,2161248,28290946.5,34439888.5,2352499,32087389.5
2024-02-01,San Fernando,San Fernando,Sur,Regiones,food,7312,3399,166,142,748,229,17,229,92779565.639999986,9136667.1700000018,83642898.47,102541652.13999999,9884075.6700000018,92657576.47
2022-08-01,Lampa,Colina,RM,Zona No Oriente,food,3345,1781,232,166,0,0,0,0,48569722.410000004,,48569722.410000004,54660890.410000004,,54660890.410000004
2023-03-01,Hijuelas,Hijuelas,other,Regiones,food,16,11,3,1,2,1,3,1,193372,18200,175172,212497,20265,192232
2022-12-01,Lota_deleted,Gran Concepción,Sur,Regiones,food,12,4,0,0,3,1,0,1,94756,18366,76390,107026,19376,87650
2024-06-01,Linderos,Linderos,other,Regiones,non_food,41,21,0,0,5,3,0,3,480440,53118,427322,550360,58498,491862
2022-01-01,El Quisco,El Quisco,other,Regiones,food,72,66,8,8,0,0,0,0,1162981.77,,1162981.77,1245481.77,,1245481.77
2023-04-01,Talagante,Talagante,RM,Zona No Oriente,non_food,127,98,15,12,6,6,0,6,1781975.5,102030,1679945.5,1859905.5,103530,1756375.5
2021-04-01,Lota_deleted,Gran Concepción,Sur,Regiones,food,20,9,1,1,0,0,0,0,114570,,114570,120230,,120230
2024-04-01,Paine.,Paine,other,Regiones,non_food,1,1,1,1,0,0,0,0,18300,,18300,18300,,18300
2024-04-01,La Cruz,Quillota,Quinta,Regiones,food,14,9,0,0,1,1,0,1,247740,12165,235575,270390,12165,258225
2023-08-01,Coyhaique,Coyhaique,other,Regiones,food,143,90,5,5,17,8,0,8,2236259,230080,2006179,2568849,263730,2305119
2021-01-01,Calle Larga,Los Andes,Quinta,Regiones,food,143,91,12,12,0,0,0,0,1653080,,1653080,1846250,,1846250
2022-11-01,Santo Domingo,Santo Domingo,other,Regiones,non_food,20,13,0,0,2,1,0,1,144650,13960,130690,178384,16750,161634
2023-05-01,Peñaflor_deleted,Peñaflor,RM,Zona No Oriente,non_food,4,2,0,0,0,0,0,0,50810,,50810,54350,,54350
2022-08-01,Peñaflor_deleted,Peñaflor,RM,Zona No Oriente,non_food,12,8,0,0,0,0,0,0,175536,,175536,177602,,177602
2021-02-01,Lautaro,Temuco,Sur,Regiones,food,1,1,0,0,0,0,0,0,14900,,14900,16290,,16290
2023-02-01,Maitencillo,Maitencillo,other,Regiones,non_food,0,0,5,2,0,0,0,0,,,,,,
2021-10-01,Maipo,Buin,RM,Zona No Oriente,food,84,55,3,3,0,0,0,0,1061230,,1061230,1182770,,1182770
2022-04-01,Hijuelas,Quillota,Quinta,Regiones,food,21,9,0,0,0,0,0,0,243020,,243020,274834,,274834
2021-01-01,Santa Bárbara,Los Ángeles,Sur,Regiones,food,5,5,1,1,0,0,0,0,41402.5,,41402.5,46772.5,,46772.5
2021-01-01,Futrono,La Unión,other,Regiones,food,12,5,0,0,0,0,0,0,113030,,113030,133510,,133510
2023-04-01,Lanco,Valdivia,Sur,Regiones,food,6,5,0,0,0,0,0,0,58180,,58180,65930,,65930
2023-09-01,San Fernando,San Fernando,Sur,Regiones,food,6490,3066,219,203,611,179,25,179,81712265.399999991,6916985,74795280.4,91105951.999999985,7555235,83550716.999999985
2023-07-01,Caldera,Copiapó,Norte,Regiones,non_food,2,2,1,1,0,0,0,0,12490,,12490,16470,,16470
2021-07-01,Talcahuano_old,Gran Concepción,Sur,Regiones,food,502,214,12,12,0,0,0,0,7816298,,7816298,8485178,,8485178
2022-10-01,Paine.,Paine,other,Regiones,non_food,4,4,0,0,0,0,0,0,114980,,114980,114980,,114980
2024-04-01,Hijuelas,Hijuelas,other,Regiones,food,11,10,1,1,1,1,0,1,137315,8492,128823,151265,10282,140983
2021-08-01,Cunco,Temuco,Sur,Regiones,food,1,1,0,0,0,0,0,0,2390,,2390,2390,,2390
2022-10-01,Santa Bárbara,Los Ángeles,Sur,Regiones,food,1,1,0,0,0,0,0,0,5170,,5170,5520,,5520
2022-05-01,Pomaire,Santiago,RM,Zona No Oriente,food,9,2,0,0,0,0,0,0,86610,,86610,98273,,98273
2021-02-01,Caleta Horcón,Caleta Horcón,other,Regiones,food,1,1,0,0,0,0,0,0,9000,,9000,10690,,10690
2023-02-01,Olmué,Valparaíso,Quinta,Regiones,food,1,1,0,0,0,0,0,0,7580,,7580,7580,,7580
2021-01-01,Catemu,San Felipe,Quinta,Regiones,food,8,6,0,0,0,0,0,0,87410,,87410,97840,,97840
2022-07-01,Laja,Biobío,Sur,Regiones,non_food,1,1,0,0,0,0,0,0,21581,,21581,24220,,24220
2022-07-01,Villarrica,Temuco,Sur,Regiones,food,2,1,0,0,0,0,0,0,67760,,67760,72340,,72340
2021-12-01,Victoria,Angol,other,Regiones,food,7,7,1,1,0,0,0,0,88670,,88670,94230,,94230
2021-04-01,Lautaro,Temuco,Sur,Regiones,non_food,1,1,0,0,0,0,0,0,6700,,6700,8390,,8390
2023-07-01,Calle Larga,Los Andes,Quinta,Regiones,non_food,1,1,0,0,0,0,0,0,16580,,16580,18700,,18700
2022-02-01,Laja,Biobío,Sur,Regiones,food,5,3,0,0,0,0,0,0,78600,,78600,86803.6,,86803.6
2022-10-01,Farellones,Santiago,RM,Zona No Oriente,food,4,2,0,0,0,0,0,0,55435,,55435,61315,,61315
2021-02-01,Talcahuano_old,Gran Concepción,Sur,Regiones,non_food,62,34,10,9,0,0,0,0,686570,,686570,805900,,805900
2023-12-01,Maipo,Buin,RM,Zona No Oriente,food,138,94,5,5,7,6,0,6,1697586.5,88319,1609267.5,1992501.5,103484,1889017.5
2021-07-01,Bulnes,Bulnes,other,Regiones,food,6,1,0,0,0,0,0,0,48910,,48910,54350,,54350
2021-07-01,Santa Julia,Valparaíso,Quinta,Regiones,food,7,3,0,0,0,0,0,0,51000,,51000,57560,,57560
2021-03-01,Friere,Temuco,Sur,Regiones,food,2,2,0,0,0,0,0,0,8620,,8620,10800,,10800
2021-11-01,Linderos,Linderos,other,Regiones,non_food,3,3,1,1,0,0,0,0,51400,,51400,57670,,57670
2023-03-01,Garbea,Temuco,Sur,Regiones,food,2,1,0,0,0,0,0,0,17430,,17430,18570,,18570
2024-06-01,Combarbalá,Ovalle,Norte,Regiones,food,5,3,0,0,0,0,0,0,45704,,45704,54934,,54934
2021-07-01,Futrono,La Unión,other,Regiones,food,9,6,1,1,0,0,0,0,80110,,80110,86370,,86370
2021-09-01,Las Cujas,Zapallar,other,Regiones,food,0,0,1,1,0,0,0,0,,,,,,
2022-11-01,Hualqui,Biobío,Sur,Regiones,food,2,1,0,0,0,0,0,0,18690,,18690,21740,,21740
2021-05-01,Angol_deleted,Angol,other,Regiones,food,4,4,3,3,0,0,0,0,34430,,34430,35930,,35930
2022-11-01,Paine.,Paine,other,Regiones,non_food,4,4,0,0,0,0,0,0,91950,,91950,94950,,94950
2023-01-01,Linderos,Linderos,other,Regiones,non_food,19,12,2,2,0,0,0,0,147090,,147090,166600,,166600
2021-01-01,Tierra Amarilla,Copiapó,Norte,Regiones,food,1,1,1,1,0,0,0,0,12170,,12170,13460,,13460
2023-11-01,El Quisco,El Quisco,other,Regiones,food,21,20,1,1,1,1,1,1,354420,16960,337460,383130,17300,365830
2024-05-01,Laja,Biobío,Sur,Regiones,non_food,2,1,0,0,0,0,0,0,58292,,58292,61812,,61812
2021-10-01,Illapel,Coquimbo,Norte,Regiones,food,1,1,0,0,0,0,0,0,10700,,10700,11690,,11690
2024-06-01,Farellones,Santiago,RM,Zona No Oriente,food,2,1,0,0,0,0,0,0,23645,,23645,23645,,23645
2022-06-01,Castro,Castro,other,Regiones,food,1,1,0,0,0,0,0,0,5800,,5800,7030,,7030
2021-03-01,Futrono,La Unión,other,Regiones,non_food,1,1,1,1,0,0,0,0,50798,,50798,50798,,50798
2021-07-01,Puchuncaví,Valparaíso,Quinta,Regiones,food,0,0,1,1,0,0,0,0,,,,,,
2023-01-01,Lautaro,Temuco,Sur,Regiones,non_food,3,2,0,0,0,0,0,0,64700,,64700,64700,,64700
2023-01-01,Chillán Viejo,Biobío,Sur,Regiones,food,1,1,0,0,0,0,0,0,5900,,5900,7840,,7840
2022-08-01,Puerto Octay,Osorno,Sur,Regiones,food,1,1,0,0,0,0,0,0,21600,,21600,23304,,23304
2021-10-01,Catapílco,Zapallar,other,Regiones,food,3,1,0,0,0,0,0,0,24450,,24450,28820,,28820
2021-12-01,La Cruz,Quillota,Quinta,Regiones,food,52,23,1,1,0,0,0,0,692770,,692770,782110,,782110
2021-07-01,María Elena,Tocopilla,other,Regiones,non_food,1,1,0,0,0,0,0,0,4640,,4640,6430,,6430
2022-11-01,Pichilemu,Pichilemu,other,Regiones,food,35,29,1,1,0,0,0,0,623971,,623971,673971,,673971
2021-05-01,Victoria,Angol,other,Regiones,food,6,5,0,0,0,0,0,0,67690,,67690,73250,,73250
2024-04-01,Laja,Biobío,Sur,Regiones,dmart,4,1,0,0,0,0,0,0,52178.5,,52178.5,58408.5,,58408.5
2021-12-01,Pirque,Puente Alto,other,Regiones,non_food,1,1,0,0,0,0,0,0,5940,,5940,7440,,7440
2024-02-01,Penco,Gran Concepción,Sur,Regiones,food,81,63,5,5,2,2,0,2,1022470,25690,996780,1148710,27530,1121180
2021-03-01,Pitrufquén,Temuco,Sur,Regiones,food,1,1,0,0,0,0,0,0,2990,,2990,2990,,2990
2022-01-01,Caleta Horcón,Caleta Horcón,other,Regiones,food,7,3,0,0,0,0,0,0,79970,,79970,91815,,91815
2024-05-01,Peñaflor_deleted,Peñaflor,RM,Zona No Oriente,food,17,7,0,0,0,0,0,0,130273.3,,130273.3,151893.3,,151893.3
2021-07-01,Cunco,Temuco,Sur,Regiones,food,2,2,0,0,0,0,0,0,16490,,16490,19570,,19570
2022-05-01,Pichilemu,Pichilemu,other,Regiones,food,61,55,1,1,0,0,0,0,1045910,,1045910,1144410,,1144410
2022-12-01,Alhue,Alhue,other,Regiones,non_food,1,1,0,0,1,1,0,1,39000,39000,,40895,40895,
2024-03-01,Quillota_Deleted,Quillota,Quinta,Regiones,food,6,5,0,0,1,1,0,1,69724,8145,61579,75444,8145,67299
2023-11-01,Hijuelas,Hijuelas,other,Regiones,non_food,1,1,0,0,0,0,0,0,11750,,11750,11750,,11750
2022-08-01,Curacavis,Santiago,RM,Zona No Oriente,food,17,9,6,6,0,0,0,0,299430,,299430,320320,,320320
2021-05-01,Illapel,Coquimbo,Norte,Regiones,food,2,1,0,0,0,0,0,0,18940,,18940,20230,,20230
2022-09-01,Lota,Gran Concepción,Sur,Regiones,food,0,0,1,1,0,0,0,0,,,,,,
2024-04-01,Teno,Maule,other,Regiones,food,1,1,0,0,0,0,0,0,14790,,14790,15620,,15620
2022-07-01,Teno,Curicó,Sur,Regiones,food,8,5,0,0,0,0,0,0,89384,,89384,97729.6,,97729.6
2021-06-01,Diego de Almagro,Chañaral,other,Regiones,non_food,1,1,2,1,0,0,0,0,29450,,29450,31540,,31540
2024-03-01,Combarbalá,Ovalle,Norte,Regiones,food,4,3,0,0,0,0,0,0,43808.5,,43808.5,50068.5,,50068.5
2023-06-01,Pichilemu,Pichilemu,other,Regiones,non_food,11,11,1,1,2,2,0,2,181960,33800,148160,183320,33800,149520
2021-08-01,Río Bueno,Valdivia,Sur,Regiones,food,1,1,1,1,0,0,0,0,52450,,52450,53440,,53440
2022-09-01,Pomaire,Santiago,RM,Zona No Oriente,food,7,2,0,0,0,0,0,0,90418,,90418,99696,,99696
2023-01-01,Teno,Maule,other,Regiones,food,1,1,0,0,0,0,0,0,18800,,18800,20440,,20440
2021-09-01,Cauquenes,Maule,other,Regiones,food,5,2,0,0,0,0,0,0,58100,,58100,66450,,66450
2023-01-01,Peñaflor_deleted,Peñaflor,RM,Zona No Oriente,non_food,3,2,0,0,0,0,0,0,41650,,41650,42580,,42580
2022-09-01,Penco,Gran Concepción,Sur,Regiones,non_food,2,2,1,1,0,0,0,0,9400,,9400,12400,,12400
2023-07-01,Pomaire,Santiago,RM,Zona No Oriente,food,3,1,0,0,0,0,0,0,17140,,17140,19130,,19130
2021-12-01,Laja,Biobío,Sur,Regiones,food,7,4,0,0,0,0,0,0,111767,,111767,125697,,125697
2022-06-01,Caleta Horcón,Caleta Horcón,other,Regiones,food,7,1,0,0,0,0,0,0,84070,,84070,96831,,96831
2021-04-01,Nueva Imperial,Temuco,Sur,Regiones,food,2,1,0,0,0,0,0,0,13810,,13810,16990,,16990
